,Tên,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Quận huyện,Hộp số,Nhiên liệu
0,Mazda 3 1.5L Sedan 2020,595000000,2020, Sedan, Xe cũ, Trong nước,32000,Hà Nội,Cầu Giấy, Số tự động, Xăng
1,Mitsubishi Xpander 1.5 AT  2020,595000000,2020, MPV, Xe cũ, Trong nước,20000,Bình Dương,Thuận An, Số tự động, Xăng
2,Mitsubishi Outlander 2.0 CVT 2019,696000000,2019, SUV, Xe cũ, Trong nước,67000,Tp.HCM,Thủ Đức, Số tự động, Xăng
3,Hyundai Kona 2.0AT Tiêu chuẩn 2021,615000000,2021, SUV, Xe cũ, Trong nước,16000,Hà Nội,Thanh Xuân, Số tự động, Xăng
4,Toyota Camry 2.0E 2015,620000000,2015, Sedan, Xe cũ, Trong nước,100000,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
5,Mercedes-Benz C200 2013,530000000,2013, Sedan, Xe cũ, Trong nước,79000,Đà Nẵng,Cẩm Lệ, Số tự động, Xăng
6,Toyota Vios 1.5 E CVT 2018,458000000,2018, Sedan, Xe cũ, Trong nước,54738,Hà Nội,Long Biên, Số tự động, Xăng
7,BMW 750Li 2006,490000000,2006, Sedan, Xe cũ, Nhập khẩu,88000,Đà Nẵng,Cẩm Lệ, Số tự động, Xăng
8,Mazda CX-5 2.5L Luxury 2020,845000000,2020, SUV, Xe cũ, Trong nước,29000,Hà Nội,Cầu Giấy, Số tự động, Xăng
9,Hyundai Tucson 2.0 Đặc biệt 2019,825000000,2019, SUV, Xe cũ, Trong nước,23000,Hà Nội,Cầu Giấy, Số tự động, Xăng
10,Toyota Corolla Altis 1.8G AT 2016,555000000,2016, Sedan, Xe cũ, Trong nước,120000,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
11,Ford Ranger Wildtrak 3.2 4x4 AT 2017,728000000,2017, Pick-up Truck, Xe cũ, Nhập khẩu,65000,Hà Nội,Long Biên, Số tự động, Diesel
12,Toyota Vios 1.5E MT 2017,385000000,2017, Sedan, Xe cũ, Trong nước,52000,Bắc Giang,Lục Nam, Số tay, Xăng
13,Kia Cerato 1.6 AT 2018,529000000,2018, Sedan, Xe cũ, Trong nước,3000,Bắc Giang,Lục Nam, Số tự động, Xăng
14,Kia Cerato 1.6 AT 2017,519000000,2017, Sedan, Xe cũ, Trong nước,6000,Bắc Giang,Lục Nam, Số tự động, Xăng
15,Hyundai Grand i10 Hatchback 1.2 AT 2018,375000000,2018, Hatchback, Xe cũ, Trong nước,30000,Hà Nội,Cầu Giấy, Số tự động, Xăng
16,Toyota Hilux 2.8G 4×4 AT 2020,915000000,2020, Pick-up Truck, Xe cũ, Nhập khẩu,60000,Hà Nội,Nam Từ Liêm, Số tự động, Diesel
17,Mazda 3 Sport 1.5L Premium 2020,690000000,2020, Hatchback, Xe cũ, Trong nước,37000,Bình Dương,Thuận An, Số tự động, Xăng
18,Hyundai Tucson 2.0 Đặc biệt 2018,735000000,2018, SUV, Xe cũ, Trong nước,16000,Hà Nội,Cầu Giấy, Số tự động, Xăng
19,Toyota Corolla Cross 1.8 HV 2020,930000000,2020, SUV, Xe cũ, Nhập khẩu,20000,Hà Nội,Nam Từ Liêm, Số tự động, Hybrid
20,Toyota Vios 1.5 E CVT 2019,465000000,2019, Sedan, Xe cũ, Trong nước,100000,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
21,BMW 730Li 2011,925000000,2011, Sedan, Xe cũ, Nhập khẩu,50000,Hà Nội,Cầu Giấy, Số tự động, Xăng
22,Toyota Land Cruiser 5.7 V8 2016,5350000000,2016, SUV, Xe cũ, Nhập khẩu,38000,Hà Nội,Cầu Giấy, Số tự động, Xăng
23,Mercedes-Maybach S 450 4MATIC 2017,5390000000,2017, Sedan, Xe cũ, Nhập khẩu,50000,Hà Nội,Cầu Giấy, Số tự động, Xăng
